,'Actb','Ahcy','Aqp3','Atp12a','Bmp4','Cdx2','Creb3l2','Cebpa','Dab2','Dppa1','Eomes','Esrrb','Fgf4','Fgfr2','Fn1','Gapdh','Gata3','Gata4','Gata6','Grhl1','Grhl2','Hand1','Hnf4a','Id2','Klf2','Klf4','Klf5','Krt8','Lcp1','Mbnl3','Msc','Msx2','Nanog','Pdgfa','Pdgfra','Pecam1','Pou5f1','Runx1','Sox2','Sall4','Sox17','Snai1','Sox13','Tcfap2a','Tcfap2c','Tcf23','Utf1','Tspan8'
'Lcp1',0.40822,-0.77184,1.2097,1.0755,0.1874,0.77813,-1.0102,0.78714,0.73304,-0.17547,0.89808,-1.0777,0.18091,-0.67424,0.080977,-0.21875,1.0934,-1.3859,0.47926,-0.97907,0.30158,0.33105,-1.1856,0.058989,-0.61297,-0.84268,1.1244,0.12807,0.47136,0.38854,-0.034668,-0.039842,-0.40055,-0.040105,-0.30946,-0.38743,-0.8755,-0.087829,-0.19038,-0.68031,0.035,-0.42552,0.086912,0.46277,-0.34742,-0.26164,-0.43134,0.4336
'Mbnl3',0.28878,-0.48146,0.39065,0.53181,-0.36978,0.34785,-0.44816,0.47994,0.31985,0.47916,0.43924,-0.44561,-0.2277,0.2639,-0.44436,0.10577,0.43442,-0.37406,-0.14311,0.28561,0.40544,-0.031337,-0.43939,0.49377,-0.31968,-0.48548,0.037503,0.28303,0.38854,0.94331,-0.32616,-0.12355,-0.27368,-0.17733,-0.43766,-0.32561,-0.55746,0.11925,-0.46107,-0.1719,-0.22103,-0.13994,0.22767,0.33623,0.067747,-0.26342,-0.58999,0.57553
'Msc',0.049306,0.0051665,0.032828,-0.071303,-0.080853,-0.05158,-0.35446,-0.20835,-0.056915,-0.14652,-0.065492,-0.2465,-0.24453,-0.22918,-0.291,-0.21992,0.050057,-0.52634,-0.12698,-0.23883,-0.17844,-0.26281,-0.33973,-0.13273,-0.19561,-0.22588,0.018784,-0.023462,-0.034668,-0.32616,0.68456,0.45881,-0.58538,0.26834,-0.20209,0.1094,0.32743,-0.34897,0.46424,0.0051929,-0.044172,-0.18426,-0.28486,0.13544,-0.076143,-0.527,-0.17055,0.23988
'Msx2',0.15359,-0.37371,0.51877,0.59842,-0.073937,0.37276,-0.51417,0.22726,0.51082,-0.29456,0.33987,-0.64737,-0.044603,-0.30286,-0.050173,-0.23177,0.58216,-0.65301,0.42097,-0.70949,0.022792,0.19381,-0.68721,-0.051067,-0.41259,-0.3896,0.76242,-0.010513,-0.039842,-0.12355,0.45881,0.75133,-0.24366,0.020037,-0.046581,-0.22749,-0.27154,0.16874,-0.1792,-0.23855,0.083449,-0.13977,-0.022544,0.15013,-0.1633,-0.067505,-0.1308,0.059722
'Nanog',-0.090795,0.663,-0.3238,-0.75951,-0.14847,-0.383,0.1457,-0.37184,-0.57569,-0.23191,-0.73319,0.85233,0.31398,0.060082,-0.10592,-0.043581,-0.66613,0.52743,-0.2138,0.3276,-0.065822,0.24323,0.39632,-0.25451,0.74903,0.71284,-0.23438,0.042948,-0.40055,-0.27368,-0.58538,-0.24366,0.37148,0.37583,0.073235,0.66434,1.1024,-0.54176,0.77468,0.54616,-0.25196,0.22763,-0.36525,-0.1581,0.40923,-0.22366,0.27691,-0.16622
'Pdgfa',0.18472,-0.033626,0.47944,0.23738,-0.18521,0.2679,-0.5079,0.14803,0.24834,-0.22683,0.1417,-0.23909,0.042935,-0.17047,-0.22255,-0.22969,0.34075,-0.48405,0.1677,-0.22049,0.082512,0.16849,-0.4236,-0.03894,-0.043691,-0.060641,0.54158,0.1086,-0.040105,-0.17733,0.26834,0.020037,0.37583,0.7229,-0.13178,-0.087657,-0.085846,0.037189,-0.21085,-0.045932,-0.079543,-0.06444,0.22419,-0.053847,0.15665,0.082737,0.2745,-0.080638
'Pdgfra',-0.17627,0.4928,-0.55274,-0.57791,0.29053,-0.50583,0.75387,-0.34958,-0.31935,-0.43845,-0.30261,0.36925,0.021046,-0.070521,0.57483,0.18688,-0.5901,0.57489,0.30062,-0.23039,-0.45099,-0.022368,0.64223,-0.48301,0.14878,0.37666,-0.13379,-0.21599,-0.30946,-0.43766,-0.20209,-0.046581,0.073235,-0.13178,0.983,0.59286,0.46278,-0.1477,0.64946,0.15799,0.2701,0.54755,-0.48817,-0.41777,-0.21201,0.39367,0.23092,-0.6114
'Pecam1',-0.32016,0.19531,-0.0093619,-0.35883,0.50647,-0.23295,0.18753,0.057757,-0.43063,-0.55105,-0.3076,0.6986,0.82359,-0.39363,0.77039,-0.13746,-0.37664,0.51554,0.23681,-0.17163,0.032498,0.52729,0.2673,-0.53428,0.68191,0.64322,0.14968,-0.37252,-0.38743,-0.32561,0.1094,-0.22749,0.66434,-0.087657,0.59286,0.88154,0.16336,-0.20844,0.17532,0.22713,0.027479,0.78414,0.29609,-0.78575,0.26081,0.88987,0.63092,-0.78595
'Pou5f1',-0.40096,-0.056545,0.36905,-0.21915,0.25825,-0.041053,-0.32981,0.26612,0.0020304,-1.0856,-0.27466,0.42435,0.98887,-0.53902,0.55815,-0.75525,-0.052551,0.23979,0.66796,-0.82275,-0.13056,0.99237,-0.34688,-0.81933,0.68024,0.61158,0.86859,-0.64588,-0.8755,-0.55746,0.32743,-0.27154,1.1024,-0.085846,0.46278,0.16336,0.6915,0.0088237,0.098063,0.29868,0.094313,0.58825,0.25512,-0.61283,0.29367,0.69143,0.66186,-0.71729
'Runx1',0.10195,0.056636,-0.34921,-0.014152,-0.47557,-0.072166,0.16241,-0.27519,0.26215,0.13762,-0.10006,-0.21843,-0.6145,0.53587,-0.41811,0.0057397,-0.064518,0.14848,0.048028,0.13421,-0.15222,-0.29875,-0.050973,0.19551,-0.31858,-0.11997,-0.11765,0.088866,-0.087829,0.11925,-0.34897,0.16874,-0.54176,0.037189,-0.1477,-0.20844,0.0088237,0.65015,0.098342,0.2313,0.074592,-0.02631,-0.37683,0.23696,-0.15484,-0.46886,-0.44,0.33848
'Sox2',-0.21855,0.035142,0.16396,-0.064076,0.77414,-0.10874,0.089765,0.070276,-0.24094,-0.58215,0.034631,0.15911,0.69741,-0.76318,0.89752,-0.067859,-0.11836,-0.042349,0.2123,-0.59924,-0.15084,0.28848,0.15182,-0.54338,0.26432,0.26698,0.2733,-0.38252,-0.19038,-0.46107,0.46424,-0.1792,0.77468,-0.21085,0.64946,0.17532,0.098063,0.098342,0.60581,-0.19789,0.12025,0.51433,0.10509,-0.52695,-0.18779,0.73207,0.42014,-0.67421
'Sall4',-0.33816,-0.16055,0.14296,-0.19572,-0.11182,-0.055728,-0.30438,0.35357,-0.065627,-0.6984,-0.27249,0.43216,0.70678,-0.060162,0.22381,-0.57373,-0.17236,0.44825,0.35463,-0.15902,0.12103,0.7546,-0.31875,-0.4603,0.5595,0.51791,0.4944,-0.43128,-0.68031,-0.1719,0.0051929,-0.23855,0.54616,-0.045932,0.15799,0.22713,0.29868,0.2313,-0.19789,0.75885,-0.060275,0.71834,0.59512,-0.56377,0.56924,0.7459,0.54204,-0.50686
'Sox17',0.038997,0.27294,-0.45914,-0.17124,0.123,-0.22026,0.4607,-0.34426,-0.032421,0.0059286,-0.062467,-0.13848,-0.36325,0.091749,0.053778,0.20562,-0.23858,0.065298,0.027649,-0.15056,-0.40748,-0.40867,0.2697,-0.086574,-0.29336,-0.063878,-0.20639,-0.024156,0.035,-0.22103,-0.044172,0.083449,-0.25196,-0.079543,0.2701,0.027479,0.094313,0.074592,0.12025,-0.060275,0.86136,0.07085,-0.64236,0.02075,-0.43277,-0.35629,-0.33275,0.027227
'Snai1',-0.36663,0.23911,-0.32328,-0.43003,0.13042,-0.30694,0.4425,-0.05091,-0.34593,-0.35198,-0.38052,0.7595,0.51868,0.11651,0.48067,-0.069433,-0.50388,0.88131,0.20745,0.16056,0.026064,0.32483,0.50524,-0.34351,0.63389,0.72004,-0.096554,-0.3044,-0.42552,-0.13994,-0.18426,-0.13977,0.22763,-0.06444,0.54755,0.78414,0.58825,-0.02631,0.51433,0.71834,0.07085,1.0702,0.35809,-0.71492,0.41289,0.83094,0.49764,-0.69648
'Sox13',0.053131,0.12563,-0.20606,-0.1018,-0.41072,-0.03464,-0.02779,-0.17465,-0.21279,0.37098,-0.17497,0.28322,-0.18242,0.40774,-0.48095,0.10058,-0.21751,0.22546,-0.30485,0.65883,0.3107,-0.2357,0.15511,0.28304,0.22025,0.18546,-0.38257,0.21004,0.086912,0.22767,-0.28486,-0.022544,-0.36525,0.22419,-0.48817,0.29609,0.25512,-0.37683,0.10509,0.59512,-0.64236,0.35809,0.86175,0.017152,0.44654,-0.13188,-0.10006,0.20716
'Tcfap2a',0.34608,-0.3542,0.35098,0.61335,-0.30381,0.44952,-0.43249,0.234,0.32611,0.40203,0.43869,-0.71619,-0.37058,-0.0039713,-0.36274,0.17181,0.50952,-0.67232,-0.12273,-0.012167,0.28319,-0.30072,-0.38868,0.44848,-0.55527,-0.57583,0.15307,0.3372,0.46277,0.33623,0.13544,0.15013,-0.1581,-0.053847,-0.41777,-0.78575,-0.61283,0.23696,-0.52695,-0.56377,0.02075,-0.71492,0.017152,0.93971,-0.13173,-0.43567,-0.65945,0.58875
'Tcfap2c',-0.15983,-0.16869,0.37185,-0.069551,-0.384,0.21298,-0.44416,0.34897,-0.096271,-0.28322,-0.25335,0.50423,0.54803,0.11274,-0.14533,-0.41802,0.02796,0.26978,0.24496,0.1399,0.48078,0.69206,-0.3235,-0.12762,0.65408,0.43941,0.43218,-0.060553,-0.34742,0.067747,-0.076143,-0.1633,0.40923,0.15665,-0.21201,0.26081,0.29367,-0.15484,-0.18779,0.56924,-0.43277,0.41289,0.44654,-0.13173,1.0327,0.37496,0.34843,-0.19977
'Tcf23',-0.20776,0.68012,-0.72143,-0.76657,0.010883,-0.53741,0.73619,-0.51657,-0.48575,-0.17762,-0.5542,0.6337,-0.1156,0.26258,0.17571,0.20157,-0.78321,0.82319,0.028531,0.23217,-0.34896,-0.18072,0.78487,-0.30591,0.31981,0.56057,-0.46492,-0.088752,-0.26164,-0.26342,-0.527,-0.067505,-0.22366,0.082737,0.39367,0.88987,0.69143,-0.46886,0.73207,0.7459,-0.35629,0.83094,-0.13188,-0.43567,0.37496,0.49702,0.21797,-0.39859
'Utf1',-0.1136,0.62477,-0.29844,-0.6286,0.15792,-0.38748,0.30733,-0.44751,-0.32504,-0.51909,-0.51005,0.551,0.19337,-0.14413,0.22996,-0.091604,-0.5109,0.34471,0.13515,-0.16795,-0.3892,0.11207,0.34063,-0.45213,0.43508,0.55801,0.025581,-0.14776,-0.43134,-0.58999,-0.17055,-0.1308,0.27691,0.2745,0.23092,0.63092,0.66186,-0.44,0.42014,0.54204,-0.33275,0.49764,-0.10006,-0.65945,0.34843,0.21797,0.54597,-0.33097
'Tspan8',0.29931,-0.66241,0.57733,0.72806,-0.29516,0.51183,-0.68501,0.54944,0.40479,0.51423,0.57852,-0.65816,-0.20178,0.16326,-0.48877,-0.0019085,0.65752,-0.64479,-0.16262,0.19127,0.48466,-0.086485,-0.68743,0.52132,-0.46316,-0.6407,0.16919,0.25272,0.4336,0.57553,0.23988,0.059722,-0.16622,-0.080638,-0.6114,-0.78595,-0.71729,0.33848,-0.67421,-0.50686,0.027227,-0.69648,0.20716,0.58875,-0.19977,-0.39859,-0.33097,0.79015
